ID,satisfaction_level,last_evaluation_rating,projects_worked_on,average_monthly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary,Attrition
9075,9.2,8.3,5,278,4,0,0,sales,low,0
9076,9.5,5.3,4,274,3,0,0,sales,low,0
9077,7.6,6.4,5,244,2,0,0,sales,high,0
9078,2.4,6.2,6,209,4,0,0,sales,low,0
9079,8.9,9.9,5,215,2,0,1,sales,medium,0
9080,6.9,6.3,6,150,4,0,1,sales,high,0
9081,9.2,9.8,4,267,3,0,1,sales,medium,0
9082,7.9,6.1,5,237,2,0,1,sales,high,0
9083,8.7,9.4,5,199,3,0,1,sales,medium,0
9084,8.9,8.8,6,251,2,1,0,sales,medium,0
9085,7.5,7.7,6,209,4,0,0,sales,medium,0
9086,6.7,6,6,263,6,0,0,sales,medium,0
9087,6,7.3,6,251,3,0,0,sales,high,0
9088,6.2,9.4,5,262,4,0,0,accounting,low,0
9089,3.8,5.2,3,181,3,0,0,accounting,medium,0
9090,6.1,5.6,5,186,3,0,0,hr,medium,0
9091,6.6,8,5,202,3,0,0,hr,medium,0
9092,5.6,7.4,4,164,2,0,0,hr,medium,0
9093,7.3,8.6,4,210,4,0,0,technical,medium,0
9094,6,6.6,5,142,4,0,0,technical,medium,0
9095,7.8,5.9,6,246,3,0,0,technical,high,0
9096,4.8,5.3,4,221,4,0,0,technical,low,0
9097,9,7.7,5,283,2,0,0,technical,low,0
9098,5,7.5,4,214,2,0,0,technical,high,0
9099,6.6,6.5,4,206,3,1,0,technical,low,0
9100,4.4,3.7,3,229,2,0,0,technical,low,0
9101,9.5,6.7,5,271,3,0,0,technical,low,0
9102,9,6.5,4,264,2,0,0,support,high,0
9103,2.7,4.8,5,195,2,0,0,support,low,0
9104,5.1,7.4,7,108,3,0,0,support,low,0
9105,6.8,7.6,4,270,4,0,0,support,low,0
9106,7.6,8.8,6,275,4,0,0,support,low,0
9107,8.8,6.1,5,187,4,1,0,support,low,0
9108,8.3,7.3,5,257,2,0,0,support,medium,0
9109,5.2,3.8,3,113,3,0,0,support,medium,0
9110,6.3,4.9,5,161,3,0,0,technical,medium,0
9111,9,7.4,4,203,3,0,0,technical,medium,0
9112,6.8,6.6,5,239,3,0,0,IT,medium,0
9113,7,8.7,4,176,2,0,0,IT,medium,0
9114,7.7,5,4,151,3,0,0,IT,medium,0
9115,7.3,9.3,4,259,2,0,0,IT,medium,0
9116,8.7,4.8,5,274,3,0,0,IT,medium,0
9117,6.5,9.8,4,262,2,0,0,product_mng,high,0
9118,6.2,7,3,144,3,0,0,product_mng,low,0
9119,5.3,5.1,4,284,2,1,0,product_mng,medium,0
9120,5.9,3.9,6,210,4,0,0,product_mng,medium,0
9121,8.7,7.2,3,164,3,0,0,IT,medium,0
9122,9.6,8.1,4,257,3,0,0,RandD,low,0
9123,7.9,7.4,4,179,3,0,0,RandD,low,0
9124,8.4,6,4,260,3,1,0,RandD,low,0
9125,6.8,4.9,4,188,3,1,0,RandD,low,0
9126,8.6,6.6,5,261,3,0,0,RandD,low,0
9127,7.3,9.8,6,282,2,0,0,marketing,low,0
9128,9,6.7,3,239,4,0,0,sales,low,0
9129,6.3,6.4,4,190,3,0,0,accounting,low,0
9130,7.1,7.2,4,281,2,0,0,support,low,0
9131,7.1,6.8,6,236,3,0,0,technical,low,0
9132,9.5,6.2,5,160,2,0,0,management,low,0
9133,5.1,8.6,5,270,3,1,0,marketing,low,0
9134,4.8,5.1,4,146,3,0,0,marketing,low,0
9135,9.3,9.1,3,248,2,1,0,sales,low,0
9136,8.3,8.6,5,108,4,0,0,sales,low,0
9137,6.1,7.3,6,166,4,0,0,sales,low,0
9138,9.7,8.9,5,258,2,0,0,sales,low,0
9139,5,8.1,4,180,2,0,0,sales,low,0
9140,8.4,5.4,4,255,3,0,0,sales,low,0
9141,5.8,3.8,5,213,5,0,0,sales,low,0
9142,5.9,7.2,4,192,3,0,0,sales,medium,0
9143,7.7,8.3,4,185,3,0,1,sales,medium,0
9144,7.8,4,5,155,5,1,1,sales,medium,0
9145,5.3,7.7,5,269,2,1,1,sales,medium,0
9146,7.3,6.9,4,238,2,0,1,sales,medium,0
9147,7.6,9.4,4,199,3,0,0,sales,medium,0
9148,1.2,6.1,7,267,3,0,0,sales,medium,0
9149,2,9.8,4,190,6,0,0,sales,medium,0
9150,5,7.7,5,190,3,0,0,sales,medium,0
9151,7.9,6.5,6,225,2,1,0,sales,medium,0
9152,9.6,6.8,4,142,2,0,0,sales,medium,0
9153,2.6,6.9,6,223,2,0,0,accounting,high,0
9154,4.3,7.1,4,196,2,0,0,accounting,medium,0
9155,8.7,7.1,5,167,2,0,0,hr,medium,0
9156,5.8,4.8,4,145,3,1,0,hr,medium,0
9157,2,4.2,5,266,5,0,0,hr,low,0
9158,6.2,7.1,5,278,3,0,0,technical,low,0
9159,9.1,9.4,6,169,3,0,0,technical,low,0
9160,6.6,9.1,4,201,4,0,0,technical,low,0
9161,5.2,9.8,6,227,2,1,0,technical,low,0
9162,10,8.8,7,211,4,0,0,technical,low,0
9163,7.3,6.7,5,215,3,0,0,technical,low,0
9164,6.5,6.7,4,250,2,1,0,technical,low,0
9165,5,9.5,6,147,3,0,0,technical,low,0
9166,9.4,5.9,5,251,2,0,0,technical,low,0
9167,4.8,8.6,6,208,4,0,0,technical,low,0
9168,7.3,9.4,5,272,3,0,0,support,low,0
9169,6.3,7.1,5,254,2,0,0,support,low,0
9170,8.4,8.4,5,276,3,0,0,support,low,0
9171,2,9.4,7,201,5,0,0,support,low,0
9172,8,5.5,5,188,2,1,0,support,low,0
9173,6.4,9.1,4,175,3,1,0,support,low,0
9174,5.9,9.7,6,189,6,0,0,support,medium,0
9175,9.2,9.8,4,159,3,0,0,support,medium,0
9176,6.9,7.4,6,237,2,0,0,technical,medium,0
9177,8.2,9.3,4,257,3,0,0,technical,medium,0
9178,8.8,8.5,4,230,3,0,0,management,medium,0
9179,8.9,9.1,4,243,2,0,0,IT,medium,0
9180,10,7.9,6,181,5,0,0,IT,medium,0
9181,8,6.2,6,200,4,1,0,IT,medium,0
9182,7.3,9.3,4,215,3,0,0,product_mng,high,0
9183,10,7.3,6,199,3,1,0,product_mng,low,0
9184,1.8,9,5,292,4,0,0,product_mng,medium,0
9185,4.7,4.6,3,162,2,0,0,IT,medium,0
9186,5.1,5,5,140,3,0,0,RandD,medium,0
9187,5.2,5.7,4,280,3,0,0,RandD,low,0
9188,9.3,6.4,5,263,3,0,0,RandD,low,0
9189,9.8,6.7,5,219,6,0,0,marketing,low,0
9190,9.9,7.3,5,250,4,0,0,accounting,low,0
9191,7.9,5.9,5,197,2,0,0,management,low,0
9192,5.5,9.8,5,195,2,1,0,marketing,low,0
9193,1.8,8.1,5,157,4,0,0,marketing,low,0
9194,9.2,6.7,3,262,2,0,0,sales,low,0
9195,9.9,7.5,5,173,2,0,0,sales,low,0
9196,4.9,5.2,4,166,2,0,0,sales,low,0
9197,1.8,5.4,7,219,5,1,0,sales,low,0
9198,8,8.2,5,281,4,0,0,sales,low,0
9199,8.1,7.7,6,261,2,0,0,sales,low,0
9200,1.3,6.1,6,208,5,0,0,sales,medium,0
9201,5.8,9.7,4,284,4,1,1,sales,medium,0
9202,8,9.4,5,281,4,0,1,sales,medium,0
9203,8.5,9.8,6,232,3,0,1,sales,medium,0
9204,9.5,8.4,4,280,3,1,1,sales,medium,0
9205,8.1,9.2,6,268,3,0,1,sales,medium,0
9206,9.1,7.4,4,160,2,0,0,accounting,medium,0
9207,6.2,5.1,5,203,3,0,0,accounting,high,0
9208,8.8,5.1,4,218,3,0,0,hr,medium,0
9209,9.4,7.3,4,206,3,0,0,hr,medium,0
9210,7.6,7.9,6,197,4,0,0,hr,medium,0
9211,4.9,6.7,4,150,2,0,0,hr,medium,0
9212,9.3,9,5,266,4,0,0,technical,low,0
9213,9.2,6.6,5,123,3,0,0,technical,low,0
9214,1.9,9.4,5,206,5,0,0,technical,low,0
9215,6.6,7.6,4,180,3,0,0,technical,low,0
9216,1.6,9.4,5,271,6,0,0,technical,low,0
9217,8.3,9.9,6,142,3,0,0,technical,low,0
9218,6.9,5.3,4,163,3,0,0,technical,low,0
9219,8.2,5.3,4,157,3,1,0,technical,low,0
9220,8.8,7.2,6,254,2,0,0,technical,low,0
9221,3.1,4.2,5,118,4,0,0,technical,low,0
9222,6.5,7.9,6,243,3,0,0,support,low,0
9223,6.6,8.9,5,179,4,0,0,support,low,0
9224,8.7,8.7,5,154,3,0,0,support,low,0
9225,6.3,9.1,5,262,3,1,0,support,medium,0
9226,6.9,9.8,5,190,3,0,0,support,medium,0
9227,4.8,6.1,4,261,3,0,0,support,medium,0
9228,8,8,5,273,4,0,0,support,medium,0
9229,3.7,8.6,7,270,3,0,0,technical,medium,0
9230,6.9,5.2,4,196,3,0,0,IT,medium,0
9231,1.6,6.1,5,181,6,0,0,IT,medium,0
9232,8.1,5.5,4,209,2,1,0,IT,medium,0
9233,9.7,6.3,6,268,2,0,0,IT,medium,0
9234,5.9,6.5,6,275,3,0,0,IT,medium,0
9235,8.9,7.1,5,200,3,0,0,RandD,low,0
9236,3.2,8.6,5,276,4,0,0,RandD,low,0
9237,7.8,5.5,4,153,3,0,0,RandD,low,0
9238,7.3,6.8,4,131,5,0,0,RandD,low,0
9239,6.1,8.6,4,249,3,0,0,IT,low,0
9240,6.7,4.9,4,234,3,0,0,IT,low,0
9241,6.3,5.7,4,252,3,0,0,product_mng,low,0
9242,8.2,5.9,6,180,3,0,0,product_mng,low,0
9243,7.9,6.7,6,166,2,0,0,product_mng,low,0
9244,4.9,6,3,123,5,0,0,IT,low,0
9245,7,5.9,4,148,3,0,0,RandD,low,0
9246,1.3,5,4,147,5,0,0,RandD,low,0
9247,8.3,5.2,6,227,3,0,0,RandD,low,0
9248,8.3,9.1,4,165,3,0,0,RandD,low,0
9249,1.9,8.3,6,290,4,0,0,RandD,low,0
9250,8,8.1,6,258,2,1,0,RandD,low,0
9251,4.9,6.7,3,200,8,0,0,marketing,medium,0
9252,9.2,9.9,4,186,8,0,0,sales,medium,0
9253,2.1,7,4,248,8,0,0,technical,medium,0
9254,5.1,8,5,208,6,0,0,marketing,medium,0
9255,6.4,5.6,4,267,6,0,0,marketing,medium,0
9256,6.2,7.9,5,278,6,0,0,sales,medium,0
9257,7.3,8.8,6,243,4,1,0,sales,medium,0
9258,3.2,8.6,5,224,5,0,0,sales,medium,0
9259,7.8,9.6,3,295,3,0,0,sales,high,0
9260,6.5,9.1,5,234,2,1,0,sales,low,0
9261,5.6,9.2,5,234,3,0,0,sales,medium,0
9262,9.6,8.9,4,152,4,0,0,sales,medium,0
9263,6.6,5.8,5,254,3,0,0,sales,medium,0
9264,6.7,6.8,5,181,3,0,0,sales,low,0
9265,8.6,8.2,5,284,2,1,0,sales,low,0
9266,5.7,7.2,5,224,2,1,0,sales,low,0
9267,8.6,8.7,6,181,2,0,0,sales,low,0
9268,5.2,5.9,6,160,2,0,0,sales,low,0
9269,7.3,6.1,5,270,2,1,0,sales,low,0
9270,7.8,6.3,6,269,3,0,0,sales,low,0
9271,9.5,6.3,4,163,2,0,0,sales,low,0
9272,7.5,6.1,4,273,3,0,0,sales,low,0
9273,8.3,5.2,3,159,2,1,0,sales,low,0
9274,3,5.8,3,199,4,1,0,accounting,low,0
9275,3.1,8.7,7,250,3,1,0,hr,low,0
9276,4.8,4.9,4,278,3,0,0,hr,low,0
9277,9.7,8.9,5,218,2,1,0,technical,low,0
9278,9.3,9.9,4,179,3,0,0,technical,low,0
9279,8.9,3.9,6,228,2,0,0,technical,low,0
9280,2.9,3.9,7,115,6,0,0,technical,medium,0
9281,6.5,8.3,5,261,2,0,0,technical,medium,0
9282,7.2,5.4,5,229,2,0,0,technical,medium,0
9283,5.1,5.6,5,208,2,1,0,technical,medium,0
9284,5.4,5.3,5,168,2,0,0,technical,medium,0
9285,6.6,5.8,4,167,2,0,0,support,medium,0
9286,5.9,5.4,5,188,2,0,0,support,medium,0
9287,4.5,4.8,4,155,2,0,0,support,medium,0
9288,1.5,9.1,6,240,3,0,0,support,medium,0
9289,9.5,5.3,4,184,3,0,0,support,medium,0
9290,6.8,9.7,4,184,2,0,0,support,low,0
9291,7,7.6,5,183,2,0,0,support,medium,0
9292,9.4,9.5,6,180,3,0,0,support,medium,0
9293,8,8.6,4,213,3,0,0,support,medium,0
9294,5.9,5.3,6,179,3,0,0,technical,low,0
9295,7,5.4,6,273,3,0,0,technical,low,0
9296,5.1,6.2,5,195,3,0,0,management,low,0
9297,1.2,4.9,5,201,5,0,0,IT,low,0
9298,1.4,5.6,6,269,4,1,0,IT,low,0
9299,8.6,9.1,5,263,3,0,0,IT,low,0
9300,9.7,5,4,226,3,0,0,IT,low,0
9301,10,8.6,3,274,3,0,0,IT,medium,0
9302,4.9,6.3,4,191,3,1,0,product_mng,medium,0
9303,9,9.3,4,219,3,0,0,product_mng,medium,0
9304,8.2,8.9,5,249,2,0,0,product_mng,medium,0
9305,9.7,5.7,5,160,2,0,0,IT,medium,0
9306,6.9,8.8,4,174,10,0,0,management,medium,0
9307,9.4,4.9,5,186,8,0,0,management,medium,0
9308,6.5,6.3,5,153,8,0,0,management,medium,0
9309,9,4.9,4,269,6,0,0,IT,medium,0
9310,5.9,7.3,4,182,6,0,0,product_mng,medium,0
9311,7.2,9.8,5,166,3,0,0,product_mng,medium,0
9312,8.7,5.2,5,150,3,0,0,product_mng,medium,0
9313,6.1,5,5,279,3,0,0,IT,medium,0
9314,5.1,6.3,5,208,2,0,0,management,medium,0
9315,8.7,9.2,5,273,3,0,0,management,medium,0
9316,2.9,3.8,6,201,5,0,0,management,medium,0
9317,5.7,6.4,4,198,3,0,0,management,medium,0
9318,6.1,9,3,152,3,0,0,marketing,high,0
9319,9.6,8.5,5,257,3,0,0,sales,high,0
9320,1.6,6.1,7,279,2,0,0,accounting,high,0
9321,8.5,8.7,7,242,5,0,0,management,high,0
9322,3.7,4.9,4,187,3,0,0,marketing,high,0
9323,8.7,6,6,175,2,1,0,marketing,high,0
9324,9.5,8,4,235,2,0,0,sales,high,0
9325,4.4,5.1,3,229,4,0,0,sales,low,0
9326,8.5,9.4,6,245,4,0,0,sales,low,0
9327,7.5,5.1,3,225,2,1,0,sales,low,0
9328,7.6,6.7,6,253,3,0,0,sales,low,0
9329,4.5,5.5,5,216,2,0,0,sales,low,0
9330,4.9,10,3,135,4,1,0,sales,low,0
9331,1.9,3.6,4,177,5,0,0,sales,low,0
9332,6.8,8.9,6,228,5,0,0,sales,low,0
9333,5.3,9.1,6,191,3,0,0,sales,low,0
9334,9.9,8.6,4,177,2,0,0,sales,low,0
9335,2.9,7.5,7,281,10,0,0,sales,medium,0
9336,2.5,9,7,239,8,0,0,sales,medium,0
9337,7.1,7.6,5,158,8,0,0,accounting,medium,0
9338,9.6,8.4,4,157,8,0,0,accounting,medium,0
9339,8,9,5,221,8,0,0,accounting,medium,0
9340,1.9,9.7,7,279,6,0,0,hr,medium,0
9341,4.3,7.4,5,139,6,0,0,hr,medium,0
9342,6.2,8.4,4,280,6,0,0,hr,medium,0
9343,7.5,8.5,4,260,6,0,0,technical,medium,0
9344,5.6,4.8,6,202,2,1,0,technical,medium,0
9345,8.8,9.1,5,243,4,0,0,technical,high,0
9346,6.3,5.7,5,202,3,0,0,technical,high,0
9347,7.4,10,5,202,4,0,0,technical,high,0
9348,5.5,6.8,4,188,3,1,0,technical,high,0
9349,1.3,9,6,274,6,0,0,technical,high,0
9350,5.6,9.4,4,164,3,1,0,support,low,0
9351,9.5,6.1,4,234,2,1,0,support,low,0
9352,7.2,5.3,4,189,3,0,0,support,low,0
9353,5.4,6.1,5,128,5,0,0,support,low,0
9354,5.4,9.5,5,266,3,0,0,support,low,0
9355,9.9,8,4,219,2,0,0,support,medium,0
9356,3.7,6.9,3,156,3,0,0,support,medium,0
9357,7.7,8.7,4,285,4,1,0,support,medium,0
9358,7,8.8,5,190,2,0,0,support,medium,0
9359,8,7.4,4,238,3,0,0,technical,medium,0
9360,5.2,6.3,4,214,3,0,0,technical,medium,0
9361,6.9,5.5,4,182,2,0,0,technical,medium,0
9362,7.4,6.4,4,146,2,0,0,IT,medium,0
9363,7.7,7.5,5,201,3,0,0,IT,medium,0
9364,9.1,6.8,5,142,4,0,0,IT,medium,0
9365,4.8,7.7,7,284,6,0,0,product_mng,medium,0
9366,5.5,9.6,4,204,3,0,0,product_mng,medium,0
9367,1.7,3.6,7,201,2,0,0,product_mng,medium,0
9368,7.7,8.3,6,226,4,0,0,IT,medium,0
9369,9.3,9.8,4,251,3,0,0,IT,medium,0
9370,6.5,9.1,5,253,5,1,0,IT,medium,0
9371,6.7,5.2,5,217,3,0,0,IT,medium,0
9372,9.5,8.8,4,209,3,0,0,IT,medium,0
9373,6.1,9.7,7,296,4,0,0,product_mng,medium,0
9374,5.7,3.9,5,142,3,0,0,product_mng,high,0
9375,6.5,10,5,239,4,0,0,product_mng,low,0
9376,8.5,8.1,5,270,3,0,0,product_mng,medium,0
9377,6.1,9.6,4,224,2,0,0,IT,medium,0
9378,9.2,9.3,5,235,2,0,1,RandD,medium,0
9379,3.7,4.1,3,123,3,0,1,RandD,medium,0
9380,4.8,7.7,6,260,2,0,1,RandD,medium,0
9381,8.4,7.5,5,145,3,0,1,RandD,medium,0
9382,5.7,4.6,3,110,6,1,1,marketing,medium,0
9383,4.9,9.1,5,144,4,0,0,accounting,low,0
9384,4.8,6.7,4,193,2,0,0,technical,low,0
9385,2.8,8.9,5,107,6,0,0,management,low,0
9386,4.7,5.6,5,236,3,0,0,marketing,low,0
9387,9.1,6,5,245,4,1,0,marketing,low,0
9388,7.5,6,5,196,10,1,0,marketing,low,0
9389,4.7,7.9,4,294,10,0,0,sales,low,0
9390,2.2,7,3,284,10,0,0,sales,high,0
9391,5,4.8,5,140,10,0,0,sales,high,0
9392,5.6,8.7,4,156,10,0,0,sales,low,0
9393,8.4,8.5,5,217,10,0,0,sales,low,0
9394,6.9,7.2,5,220,2,1,0,sales,high,0
9395,5.3,6.4,4,153,2,0,0,sales,low,0
9396,1.7,5.7,5,126,3,0,0,sales,medium,0
9397,4.8,7.1,3,172,3,1,0,sales,high,0
9398,7.7,8.9,5,163,7,0,0,sales,medium,0
9399,10,7.2,6,204,7,1,0,sales,medium,0
9400,4.9,6.5,5,243,7,0,0,sales,medium,0
9401,9.3,7.3,5,293,7,0,0,sales,high,0
9402,3.8,4.3,4,198,7,0,0,sales,medium,0
9403,9.3,9.5,6,186,6,0,1,accounting,medium,0
9404,5.2,8.4,4,271,8,0,1,accounting,low,0
9405,5,7.1,5,173,8,0,1,hr,medium,0
9406,5.5,4,4,149,8,0,1,hr,medium,0
9407,9.5,8.4,4,271,8,1,1,hr,medium,0
9408,4.8,4.2,3,285,6,1,1,hr,medium,0
9409,5.1,3.9,6,142,6,1,1,technical,low,0
9410,9.6,4.8,4,212,6,0,0,technical,low,0
9411,9.7,8.4,5,187,6,0,0,technical,low,0
9412,9.7,6.6,6,244,6,0,0,technical,low,0
9413,7.1,5.4,5,198,6,0,0,technical,low,0
9414,8.2,4.9,6,213,6,0,0,technical,low,0
9415,5.7,10,5,237,10,0,0,technical,low,0
9416,4.8,9.3,4,160,10,0,0,technical,low,0
9417,6.3,6.1,6,196,10,0,0,technical,low,0
9418,9.9,8.4,5,152,10,0,0,technical,high,0
9419,7.9,8.3,4,136,10,1,0,support,low,0
9420,6.5,8.5,5,211,10,0,0,support,low,0
9421,7,8.5,5,152,2,0,0,support,low,0
9422,6.5,6.2,5,268,2,0,0,support,high,0
9423,9.2,8.5,4,217,2,0,0,support,low,0
9424,2.4,5,5,292,4,1,0,support,low,0
9425,7.8,8.9,5,282,2,0,0,support,low,0
9426,6,6.1,6,201,2,1,0,technical,high,0
9427,4.9,5.7,4,202,3,0,0,technical,medium,0
9428,8.2,8.2,4,174,3,0,0,technical,high,0
9429,4.8,8.1,5,159,2,0,0,management,medium,0
9430,6.9,5.6,5,159,3,0,0,IT,medium,0
9431,4,8.9,3,175,3,0,0,IT,medium,0
9432,7.5,8.4,6,232,3,1,0,IT,medium,0
9433,5,7.7,4,275,3,0,0,IT,medium,0
9434,7.8,5,6,257,4,0,0,product_mng,medium,0
9435,7.6,4.5,5,157,2,0,0,product_mng,medium,0
9436,9.4,5.2,4,283,3,0,0,product_mng,high,0
9437,2.4,9.4,7,154,4,0,0,product_mng,low,0
9438,9.9,6.6,4,191,2,0,0,IT,medium,0
9439,6.7,6.4,4,208,2,1,0,management,medium,0
9440,9.8,6.7,4,200,10,0,0,IT,medium,0
9441,9.8,9.8,5,180,10,0,0,IT,medium,0
9442,7,6.2,4,120,3,0,0,product_mng,low,0
9443,4.9,7.7,4,221,3,0,0,IT,high,0
9444,7,5.6,5,224,3,0,1,management,medium,0
9445,1.6,9.3,6,220,7,0,1,management,medium,0
9446,5.8,5.9,4,217,7,0,1,management,medium,0
9447,5.1,5.5,3,112,7,0,1,management,medium,0
9448,4.8,8.4,5,196,7,0,1,management,medium,0
9449,5.6,7.1,4,221,6,0,1,marketing,low,0
9450,5.7,7,5,247,6,0,0,accounting,low,0
9451,6.6,5.3,4,174,6,0,0,support,low,0
9452,2.2,9.1,7,232,8,0,0,technical,low,0
9453,9.6,7.1,4,215,8,1,0,management,medium,0
9454,6.1,4.2,3,113,8,0,0,marketing,medium,0
9455,6.6,8.5,4,188,8,1,0,marketing,medium,0
9456,7.6,8.2,5,180,6,0,0,sales,medium,0
9457,9.7,4.1,6,145,6,0,0,sales,medium,0
9458,6.9,7.6,4,184,6,0,0,sales,medium,0
9459,9.8,5.5,4,176,6,1,0,sales,medium,0
9460,1.8,6.1,6,184,6,0,0,sales,medium,0
9461,6.2,9.1,4,261,10,0,0,sales,medium,0
9462,8.7,4.8,6,180,3,0,0,sales,low,0
9463,5.3,7.9,4,231,10,1,0,sales,medium,0
9464,6.9,7.3,5,267,10,1,0,sales,medium,0
9465,1.4,5.8,5,285,10,0,0,sales,medium,0
9466,7,7.7,5,255,2,0,0,sales,low,0
9467,7.7,7.5,7,256,6,0,0,sales,low,0
9468,7.7,7.6,7,273,6,0,0,sales,low,0
9469,7.6,9.9,4,143,4,0,0,sales,low,0
9470,5.7,9,6,155,3,0,0,accounting,low,0
9471,9.7,6.2,7,128,2,0,0,accounting,low,0
9472,2.6,9.9,6,194,5,0,0,hr,low,0
9473,7.2,6.2,4,253,2,1,0,hr,low,0
9474,5.5,4,4,168,3,0,0,hr,low,0
9475,7.7,7.4,6,253,2,0,0,technical,low,0
9476,2.4,6.3,5,213,5,0,0,technical,low,0
9477,8,9.6,4,171,3,0,0,technical,low,0
9478,5,5.9,5,224,3,1,0,technical,low,0
9479,6.6,8.1,4,184,3,0,0,technical,low,0
9480,5.7,8.2,5,279,2,0,0,technical,medium,0
9481,5.7,8.8,5,150,2,0,0,support,medium,0
9482,2.3,9.4,6,252,4,0,0,support,medium,0
9483,5.3,3.7,4,190,3,0,0,support,medium,0
9484,5.9,6.4,6,279,3,0,0,support,medium,0
9485,5,5.2,3,188,2,0,0,support,medium,0
9486,10,7.4,3,197,3,0,0,support,medium,0
9487,8.6,6.1,5,203,2,0,0,support,high,0
9488,7.3,4.9,5,253,2,0,0,technical,low,0
9489,7.9,7.3,3,157,2,0,0,technical,medium,0
9490,8.5,6.7,4,186,2,0,0,IT,medium,0
9491,9.4,6.5,5,223,2,1,0,IT,low,0
9492,7.7,5.4,5,149,3,1,0,IT,low,0
9493,7.7,9.1,5,249,3,1,0,product_mng,low,0
9494,5.9,6.4,6,133,2,0,0,product_mng,low,0
9495,5.1,8.5,5,196,2,0,0,product_mng,low,0
9496,8,6.7,4,188,3,0,0,IT,low,0
9497,6.9,7.2,5,195,10,1,0,management,high,0
9498,9.5,9,5,231,10,1,0,management,high,0
9499,5.3,6.1,4,158,10,0,0,management,high,0
9500,6.4,5.2,6,268,10,1,0,management,high,0
9501,5.1,7.3,5,239,3,0,0,sales,low,0
9502,9.8,5.8,5,143,3,0,0,sales,low,0
9503,5.3,7,5,233,3,0,0,sales,low,0
9504,8,9.5,5,282,2,0,0,sales,low,0
9505,8.2,8,4,172,3,0,0,sales,medium,0
9506,6.2,7.5,6,175,4,0,0,sales,medium,0
9507,5.7,6,3,173,3,0,0,sales,medium,0
9508,9.1,7.7,4,154,3,0,0,sales,medium,0
9509,7.5,5.9,6,159,4,0,0,sales,medium,0
9510,7.6,8,6,227,2,0,0,sales,medium,0
9511,8.5,4.9,5,149,2,0,0,sales,medium,0
9512,8.6,8.4,4,187,3,0,0,sales,medium,0
9513,9.4,5.9,4,161,2,0,0,sales,low,0
9514,9.8,7.4,4,195,3,0,0,sales,medium,0
9515,4.2,4.5,4,237,3,0,0,sales,medium,0
9516,9.8,8.9,5,228,2,0,0,sales,medium,0
9517,6.8,5.3,4,148,2,1,0,sales,low,0
9518,2.4,6.2,7,235,6,0,0,sales,low,0
9519,8.6,8.9,5,163,4,0,0,sales,low,0
9520,4.3,4.6,3,196,2,0,0,product_mng,low,0
9521,1.6,4.2,4,192,3,1,0,product_mng,low,0
9522,3.7,6.3,5,177,3,0,0,IT,low,0
9523,9.8,6.8,6,181,3,0,0,management,high,0
9524,3.3,9.7,6,140,4,0,0,management,high,0
9525,1.4,7.9,6,281,4,0,0,management,high,0
9526,5.1,9.7,5,268,2,0,0,sales,medium,0
9527,9.7,7.9,6,269,3,0,1,support,medium,0
9528,6.7,6.9,4,241,3,0,1,technical,medium,0
9529,6.9,5.8,5,159,3,0,1,marketing,medium,0
9530,6,6.2,4,248,4,0,1,marketing,medium,0
9531,8.2,7.1,3,219,5,0,1,marketing,medium,0
9532,8.6,9.5,5,159,3,0,1,sales,medium,0
9533,8.7,8.7,6,217,2,0,0,sales,high,0
9534,1.7,7.8,4,249,6,0,0,sales,low,0
9535,9.4,5.1,7,249,5,0,0,sales,medium,0
9536,8.9,9.9,3,268,3,0,0,sales,medium,0
9537,6.9,5.1,4,267,3,1,0,IT,low,0
9538,5,5.1,6,144,3,0,0,product_mng,low,0
9539,1.6,4.6,7,250,2,0,0,product_mng,low,0
9540,7.5,9.9,3,247,5,1,0,product_mng,low,0
9541,6.4,6.6,6,167,2,0,0,product_mng,low,0
9542,7.8,4.3,5,285,3,0,0,IT,low,0
9543,5.3,5.3,5,267,2,0,0,management,high,0
9544,6.9,7.3,4,241,2,1,0,management,high,0
9545,8,5.3,4,227,3,0,0,management,high,0
9546,7.7,9.8,4,296,6,0,0,management,high,0
9547,6.4,5.5,5,225,2,0,0,sales,low,0
9548,7.8,5.7,5,167,3,0,0,accounting,low,0
9549,6.7,7,4,159,3,0,0,support,low,0
9550,9.1,8.2,5,248,2,0,0,management,low,0
9551,5.4,5.2,5,183,2,0,0,marketing,medium,0
9552,8.9,6.3,5,280,3,1,0,sales,medium,0
9553,1.6,9.8,4,242,5,0,0,sales,medium,0
9554,7.7,9.9,5,270,3,0,0,sales,medium,0
9555,6.9,4.8,6,242,4,0,0,sales,medium,0
9556,6.1,8.1,5,144,3,0,0,sales,medium,0
9557,5.9,8.1,5,199,3,0,0,sales,medium,0
9558,5.8,8,5,123,3,0,0,IT,medium,0
9559,8.8,6.7,6,274,3,0,0,product_mng,medium,0
9560,5.1,6.3,6,270,2,0,0,product_mng,high,0
9561,3.1,7,4,142,3,0,0,product_mng,low,0
9562,5.2,5.2,5,178,3,0,0,product_mng,medium,0
9563,5.7,4.6,4,196,3,1,0,IT,medium,0
9564,5,7.7,4,277,2,0,0,management,high,0
9565,7.4,7.7,4,221,3,0,0,management,high,0
9566,8.2,5.1,3,278,2,0,0,management,high,0
9567,7.4,7.1,4,216,3,0,0,management,high,0
9568,2,5.9,7,123,3,0,0,management,high,0
