Name,PClass,Age,Sex,Survived,PersonID
Bourke Mrs John (Catherine),3rd,32,female,0,513
Bowen Mr David,3rd,26,male,0,514
Bradley Miss Bridget Delia,3rd,18,female,1,515
Braf Miss Elin Ester Maria,3rd,20,female,0,516
Braund Mr Lewis Richard,3rd,29,male,0,517
Braund Mr Owen Harris,3rd,22,male,0,518
Brobek Mr Karl Rudolf,3rd,22,male,0,519
Brocklebank Mr William Alfred,3rd,35,male,0,520
Buckley Mr Daniel,3rd,21,male,1,521
Buckley Miss Katherine,3rd,20,female,0,522
Burke Mr Jeremiah,3rd,19,male,0,523
Burns Miss Mary Delia,3rd,18,female,0,524
Cacic Mr Grego,3rd,18,male,0,525
Cacic Mr Luka,3rd,38,male,0,526
Cacic Mr Maria,3rd,30,male,0,527
Calic Mr Peter,3rd,17,male,0,528
Canavan Miss Mary,3rd,21,female,0,529
Canavan Mr Patrick,3rd,21,male,0,530
Cann Mr Ernest,3rd,21,male,0,531
Carlsson Mr Carl Robert,3rd,24,male,0,532
Carlsson Mr Frans Olof,3rd,33,male,0,533
Carlsson Mr Julius,3rd,33,male,0,534
Carlsson Mr August Sigfrid,3rd,28,male,0,535
Carr Miss Helen,3rd,16,female,1,536
Carr Miss Jeannie,3rd,37,female,0,537
Carver Mr Alfred John,3rd,28,male,0,538
Celotti Mr Francesco,3rd,24,male,0,539
Chartens Mr David,3rd,21,male,0,540
Chip Mr Chang,3rd,32,male,0,541
Christmann Mr Emil,3rd,29,male,0,542
Chronopoulos Mr Apostolos,3rd,26,male,0,543
Chronopoulos Mr Demetrios,3rd,18,male,0,544
Coelho Mr Domingos Fernandes,3rd,20,male,0,545
Cohen Mr Gurshon (Gus),3rd,19,male,1,546
Colbert Mr Patrick,3rd,24,male,0,547
Coleff Mr Fotio,3rd,24,male,0,548
Coleff Mr Peyo,3rd,36,male,0,549
Conlin Mr Thomas Henry,3rd,31,male,0,550
Connaghton Mr Michael,3rd,31,male,0,551
Connolly Miss Kate,3rd,30,female,0,552
Connolly Miss Kate,3rd,22,female,1,553
Cook Mr Jacob,3rd,43,male,0,554
Cor Mr Bartol,3rd,35,male,0,555
Cor Mr Ivan,3rd,27,male,0,556
Cor Mr Ludovik,3rd,19,male,0,557
Corn Mr Harry,3rd,30,male,0,558
Coutts Mrs William (Minnie),3rd,36,female,1,559
Coutts Master Neville,3rd,3,male,1,560
Coutts Master William Leslie,3rd,9,male,1,561
Coxon Mr Daniel,3rd,59,male,0,562
Crease Mr Ernest James,3rd,19,male,0,563
Cribb Mr John Hatfield,3rd,44,male,0,564
Cribb Miss Laura Alice,3rd,17,female,1,565
Dahl Mr Charles Edward,3rd,45,male,1,566
Dahlberg Miss Gerda Ulrika,3rd,22,female,0,567
Dakic Mr Branko,3rd,19,male,0,568
Daly Mr Eugene,3rd,29,male,1,569
Daly Miss Marcella,3rd,30,female,1,570
Danbom Mr Ernst Gilbert,3rd,34,male,0,571
Danbom Mrs Ernst Gilbert (Anna Sigrid Maria Brogren),3rd,28,female,0,572
Danbom Master Gilbert Sigvard Emanuel,3rd,0.33,male,0,573
Danoff Mr Yoto,3rd,27,male,0,574
Dantchoff Mr Khristo,3rd,25,male,0,575
Davies Mr Alfred,3rd,24,male,0,576
Davies Mr Evan,3rd,22,male,0,577
Davies Mr John,3rd,21,male,0,578
Davies Mr Joseph,3rd,17,male,0,579
Dean Mr Bertram,3rd,26,male,0,580
Dean Mrs Bertram (Eva),3rd,33,female,1,581
Dean Master Bertram Vere,3rd,1,male,1,582
Dean Miss Elizabeth Gladys (Millvena),3rd,0.17,female,1,583
Delalic Mr Regyo,3rd,25,male,0,584
De Messemaeker Mr William Joseph,3rd,36,male,1,585
De Messemaeker Mrs William Joseph (Anna),3rd,36,female,1,586
De Mulder Mr Theo,3rd,30,male,1,587
Dennis Mr Samuel,3rd,23,male,0,588
Dennis Mr William,3rd,26,male,0,589
Devaney Miss Margaret,3rd,19,female,1,590
Dewan Mr Frank,3rd,65,male,0,591
Dimic Mr Jovan,3rd,42,male,0,592
Dintcheff Mr Valtcho,3rd,43,male,0,593
Dooley Mr Patrick,3rd,32,male,0,594
Dorkings Mr Edward Arthur,3rd,19,male,1,595
Dowdell Miss Elizabeth,3rd,30,female,1,596
Doyle Miss Elizabeth,3rd,24,female,0,597
Drapkin Miss Jennie,3rd,23,female,1,598
Driscoll Miss Bridget,3rd,24,female,1,599
Duquemin Mr Joseph,3rd,24,male,1,600
Dyker Mr Adolf Fredrik,3rd,23,male,0,601
Dyker Mrs Adolf Fredrik (Anna Elizabeth Judith Andersson),3rd,22,female,1,602
Edvardsson Mr Gustaf Hjalmar,3rd,18,male,0,603
Eklund Mr Hans Linus,3rd,16,male,0,604
Ekstrom Mr Johan,3rd,45,male,0,605
Elsbury Mr James,3rd,47,male,0,606
Emanuel Miss Virginia Ethel,3rd,5,female,1,607
Ford Miss Doolina Margaret,3rd,21,female,0,608
Ford Mr Edward Watson,3rd,18,male,0,609
Ford Miss Maggie,3rd,9,female,0,610
Ford Mrs Edward (Margaret Ann),3rd,48,female,0,611
Ford Mr Neil Watson,3rd,16,male,0,612
Gallagher Mr Martin,3rd,25,male,0,613
Georges Mrs Shahini Weappi,3rd,38,female,1,614
Gilinski Mr Leslie,3rd,22,male,0,615
Gilnagh Miss Katie,3rd,16,female,1,616
Goldsmith Mr Frank John,3rd,33,male,0,617
Goldsmith Master Frank John William,3rd,9,male,1,618
Goldsmith Mr Nathan,3rd,41,male,0,619
Goncalves Mr Manuel Estanslas,3rd,38,male,0,620
Goodwin Mr Frederick,3rd,40,male,0,621
Goodwin Mrs Frederick (Augusta),3rd,43,female,0,622
Goodwin Mr Charles E,3rd,14,male,0,623
Goodwin Miss Lillian A,3rd,16,female,0,624
Goodwin Master Harold V,3rd,9,male,0,625
Goodwin Miss Jessie A,3rd,10,female,0,626
Goodwin Master Sidney L,3rd,6,male,0,627
Goodwin Master William F,3rd,11,male,0,628
Green Mr George,3rd,40,male,0,629
Gronnestad Mr Daniel Danielsen,3rd,32,male,0,630
Gustafsson Mr Alfred Ossian,3rd,20,male,0,631
Gustafsson Mr Anders Vilhelm,3rd,37,male,0,632
Gustafsson Mr Johan Birger,3rd,28,male,0,633
Gustafsson Mr Karl Gideon,3rd,19,male,0,634
Haas Miss Aloisia,3rd,24,female,0,635
Hagardon Miss Kate,3rd,17,female,0,636
Hakkarainen Mr Pekko Pietari,3rd,28,male,0,637
Hakkarainen Mrs Pekko Pietari,3rd,24,female,1,638
Hampe Mr Leon,3rd,20,male,0,639
Hansen Mr Claus Peter,3rd,41,male,0,640
Hansen Mrs Claus Peter,3rd,45,female,1,641
Hansen Mr Henrik Juul,3rd,26,male,0,642
Hansen Mr Henry Damsgaard,3rd,21,male,0,643
Hedman Mr Oscar,3rd,27,male,1,644
Hegarty Miss Nora,3rd,18,female,0,645
Heikkinen Miss Laina,3rd,26,female,1,646
Heininen Miss Wendla Maria,3rd,23,female,0,647
Hellstrom Hilda Maria,3rd,22,female,1,648
Henriksson Jenny Lovisa,3rd,28,female,0,649
Hirvonen Mrs Alexander,3rd,22,female,1,650
Hirvonen Miss Hildur E,3rd,2,female,0,651
Holm Mr John Frederik Alexander,3rd,43,male,0,652
Honkanen Miss Eluna,3rd,27,female,1,653
Humblin Mr Adolf Mathias Nicolai Olsen,3rd,42,male,0,654
Ilmakangas Miss Ida Livija,3rd,27,female,0,655
Ilmakangas Miss Pieta Sofia,3rd,25,female,0,656
Jansen Mr Carl Olof,3rd,27,male,1,657
Jensen Miss Carla Christine,3rd,19,female,1,658
Jensen Mr Hans Peder,3rd,20,male,0,659
Jensen Mr Niels Peder,3rd,48,male,0,660
Jensen Mr Svend Lauritz,3rd,17,male,0,661
Johanson Mr Jakob Alfred,3rd,34,male,0,662
Johansson Mr Erik,3rd,22,male,0,663
Johansson Mr Gustaff Joel,3rd,33,male,0,664
Johansson Mr Karl Johan,3rd,32,male,1,665
Johansson Mr Nils,3rd,29,male,0,666
Johansson Oscar L,3rd,26,male,1,667
Johnson Mr Alfred,3rd,49,male,0,668
Johnson Miss Eleanor Ileen,3rd,1,female,1,669
Johnson Mr Malkolm Joackim,3rd,33,male,0,670
Johnson Master Harold Theodor,3rd,4,male,1,671
Johnson Mrs Oscar W,3rd,24,female,0,672
Johnson Mr William Cahoone Jr,3rd,19,male,0,673
Jonsson Mr Carl,3rd,32,male,1,674
Jonsson Nils Hilding,3rd,27,male,0,675
Jussila Miss Aina Maria,3rd,21,female,0,676
Jussila Mr Erik,3rd,32,male,1,677
Jussila Miss Katriina,3rd,20,female,0,678
Kallio Mr Nikolai Erland,3rd,17,male,0,679
Kalvig Mr Johannes K Halverson,3rd,21,male,0,680
Karajic Mr Milan,3rd,30,male,0,681
Karlsson Mr Einar Gervasius,3rd,21,male,1,682
Karlsson Mr Julius Konrad Eugen,3rd,23,male,0,683
Karlsson Mr Nils August,3rd,22,male,0,684
Karun Miss Anna Mary,3rd,4,female,1,685
Karun Mr Franz,3rd,39,male,0,686
Keane Mr Andrew,3rd,20,male,0,687
Kelly Miss Anna Kate,3rd,21,female,1,688
Kelly Mr James,3rd,44,male,0,689
Kelly Mr James,3rd,42,male,0,690
Kelly Miss Mary,3rd,21,female,1,691
Kennedy Mr John,3rd,24,male,0,692
Kiernan Mr John,3rd,25,male,0,693
Kiernan Mr Philip,3rd,22,male,0,694
Kilgannon Mr Thomas,3rd,22,male,0,695
Kink Mr Anton,3rd,39,male,1,696
Kink Mrs Anton (Louise Heilmann),3rd,26,female,0,697
Kink Miss Louise Gretchen,3rd,4,female,1,698
Kink Miss Maria,3rd,22,female,0,699
Kink Mr Vincenz,3rd,26,male,0,700
Klasen Miss Gertrud Emilia,3rd,1.5,female,0,701
Klasen Mrs Hulda Kristina,3rd,36,female,0,702
Klasen Mr Klas Albin,3rd,18,male,0,703
Krekorian Mr Neshan,3rd,25,male,1,704
Laitinen Miss Kritina Sofia,3rd,37,female,0,705
Landegren Miss Aurora Adelia,3rd,22,female,1,706
Lane Mr Patrick,3rd,20,male,0,707
Lang Mr Fang,3rd,26,male,1,708
Larsson Mr August Viktor,3rd,29,male,0,709
Larsson Mr Bengt Edvin,3rd,29,male,0,710
Larsson-Rondberg Mr Edvard,3rd,22,male,0,711
Leinonen Mr Antti Gustaf,3rd,32,male,0,712
Lemom Mr Denis,3rd,21,male,0,713
Lemon Miss Mary,3rd,21,female,0,714
Leonard Mr Lionel,3rd,36,male,0,715
Lester Mr James,3rd,39,male,0,716
Lindahl Miss Agda V,3rd,25,female,0,717
Lindblom Miss Augusta Charlotta,3rd,45,female,0,718
Lindell Mr Edvard Bengtsson,3rd,36,male,0,719
Lindell Mrs Edvard Bengtsson,3rd,30,female,0,720
Lindqvist Eino William,3rd,20,male,1,721
Melkebuk Mrs Philemon,3rd,23,female,0,722
Salander Mr Karl Johan,3rd,21,male,0,723
Sandstrom Miss Beatrice Irene,3rd,1.5,female,0,724
Tornquist Mr William Henry,3rd,25,male,1,725
Turja Miss Anna Sofia,3rd,18,female,1,726
Turkula Mrs Hedvig,3rd,63,female,1,727
Van der Planke Miss Augusta,3rd,18,female,0,728
Van der Planke Mr Jules,3rd,31,male,0,729
Van der Planke Mrs Jules,3rd,31,female,0,730
Van der Planke Mr Leon,3rd,15,male,0,731
Van der Steen Mr Leo Peter,3rd,28,male,0,732
Van de Velde Mr John Joseph,3rd,36,male,0,733
Vandewalle Mr Nestor Cyriel,3rd,28,male,0,734
Van Impe Miss Catharine,3rd,10,female,0,735
Van Impe Mr Jean Baptiste,3rd,36,male,0,736
Van Impe Mrs Jean Baptiste,3rd,30,female,0,737
Vartunian Mr David,3rd,22,male,1,738
Vendel Mr Olof Wdvin,3rd,29,male,0,739
Vereruysse Mr Victor,3rd,47,male,0,740
Vestrom Miss Hulda Amanda Adolfina,3rd,14,female,0,741
Vonk Mr Jenko,3rd,22,male,0,742
Widegren Mr Charles Peter,3rd,51,male,0,743
Wiklund Mr Jacob Alfred,3rd,18,male,0,744
Wilkes Mrs Ellen,3rd,45,female,1,745
Williams Mr Leslie,3rd,28,male,0,746
Windelov Mr Einar,3rd,21,male,0,747
Wirz Mr Albert,3rd,27,male,0,748
Wittevrongel Mr Camiel,3rd,36,male,0,749
Yasbeck Mr Antoni,3rd,27,male,0,750
Yasbeck Mrs Antoni,3rd,15,female,1,751
Zakarian Mr Artun,3rd,27,male,0,752
Zakarian Mr Maprieder,3rd,26,male,0,753
Zenni Mr Philip,3rd,22,male,0,754
Lievens Mr Rene,3rd,24,male,0,755
Zimmerman Leo,3rd,29,male,0,756
